title,wiki_id,url,general,subtopics,depth,split,text_source,dump_title,n_passages,text_sha256
1968 Summer Olympics medal table,921156,https://en.wikipedia.org/wiki/1968%20Summer%20Olympics%20medal%20table,sports,olympics,2,test,legacy_dump,1968 Summer Olympics medal table,1,93b29a8f49efeb76d702da8c74482f2704f93e116c8b55804552ca0b6b314132
1972 Olympics Black Power salute,46417962,https://en.wikipedia.org/wiki/1972%20Olympics%20Black%20Power%20salute,sports,olympics,2,test,dump,1972 Olympics Black Power salute,4,166ac0884247686606aa95e53b9edf0b21b0e8e5191695a2709e27476c1bbaa3
1976 Summer Olympics,72622,https://en.wikipedia.org/wiki/1976%20Summer%20Olympics,sports,olympics,2,test,dump,1976 Summer Olympics,4,cb0116a17463fc03f74915057d114d58cfcf2503354ab238fa2fedc4eddd73e3
1984 Summer Olympics commemorative coins,8008713,https://en.wikipedia.org/wiki/1984%20Summer%20Olympics%20commemorative%20coins,sports,olympics,1,train,dump,1984 Summer Olympics commemorative coins,4,dc2cad1d618f34582486b9cf3084932aaedc84b267646af44fd69984374d5c8e
1988 Olympic commemorative coins,70907699,https://en.wikipedia.org/wiki/1988%20Olympic%20commemorative%20coins,sports,olympics,1,train,dump,1988 Olympic commemorative coins,4,3238a5a84f011a495e6e1bbfae5edea2c553bcd9edb6771110e066b401ee68d5
1992 in association football,4093172,https://en.wikipedia.org/wiki/1992%20in%20association%20football,sports,football,2,val,dump,1992 in association football,4,618dd12990956e1a7d97f870fe723536d95dbc9a6da6d0851321cb2815ce3be4
1998 in association football,4091088,https://en.wikipedia.org/wiki/1998%20in%20association%20football,sports,football,2,test,dump,1998 in association football,4,ec0749a62ac8009ae538a85125da30bc86e720a882f79fc3d84e602fb6e9f10e
1GOAL Education for All,27952814,https://en.wikipedia.org/wiki/1GOAL%20Education%20for%20All,sports,football,1,train,dump,1GOAL Education for All,4,67f1c93fced8ae41e94d1e9b5d987061cbe3f3d38de5466d4c3d748d43ae2d25
1QBit,43072622,https://en.wikipedia.org/wiki/1QBit,technology,quantum_computing,1,train,dump,1QBit,4,2566850b8058778ecb485369a4c538a1141efd23d01c371a25c7be1d3e491083
1q21.1 copy number variations,36460224,https://en.wikipedia.org/wiki/1q21.1%20copy%20number%20variations,biology,genetics,1,test,dump,1q21.1 copy number variations,4,cb68d9ecbd5295c456a42f8e5c02719eeeba308e23143a5c58f1f3ae9ba85b13
1st SS Infantry Brigade,21574847,https://en.wikipedia.org/wiki/1st%20SS%20Infantry%20Brigade,history,world_wars,1,train,dump,1st SS Infantry Brigade,4,159ed082969ab6d2836fd8fec60a410dc3c1f0af0faf42cb3fe73473e09bbe60
1–2–1–1 zone press,43178053,https://en.wikipedia.org/wiki/1%E2%80%932%E2%80%931%E2%80%931%20zone%20press,sports,basketball,1,train,dump,1–2–1–1 zone press,4,9222e2ff71a7fb1c97bface2f859a27fd32b1918a6fb47ce2d87e3a949812171
1–3–1 defense and offense,20914541,https://en.wikipedia.org/wiki/1%E2%80%933%E2%80%931%20defense%20and%20offense,sports,basketball,1,train,dump,1–3–1 defense and offense,4,4728251eb16306831a1439e88e74a637b87fe0a116b185398df8c23c0c33cb65
2 1/2-dimensional manufacturing,32575067,https://en.wikipedia.org/wiki/2%201/2-dimensional%20manufacturing,physics,relativity,1,val,dump,2 1/2-dimensional manufacturing,4,8afc8d2a1d94d857a79e92be3f5d6f4f34622b9eae00415c4da81402fcd45051
"2,2'-Dipyridyldisulfide",18760251,https://en.wikipedia.org/wiki/2%2C2%27-Dipyridyldisulfide,chemistry,organic_chemistry,1,train,dump,"2,2'-Dipyridyldisulfide",2,d3430b0fd5d27b8d1db8012af210f3cf263b8259244161c82b4891c23cade6a2
"2,2-Dimethoxypropane",2982309,https://en.wikipedia.org/wiki/2%2C2-Dimethoxypropane,chemistry,organic_chemistry,1,train,dump,"2,2-Dimethoxypropane",3,0376cb5ba712f79286da5427b3493b39fa0b860fee37d2e83b9e44cf2fe89662
"2,3-Wittig rearrangement",27585793,https://en.wikipedia.org/wiki/2%2C3-Wittig%20rearrangement,chemistry,chemical_reactions,1,train,dump,"2,3-Wittig rearrangement",4,37d025a7766cf5a767fab895ab57ec0b2b8dee11aa099f8ad49c7ea0eaeaa15b
"2,4-Dinitrophenylhydrazine",1919588,https://en.wikipedia.org/wiki/2%2C4-Dinitrophenylhydrazine,chemistry,organic_chemistry,1,train,dump,"2,4-Dinitrophenylhydrazine",4,78e6eb4c97a12e368cbff42c4dcb7c9e33af3f9bf5bc6181f3f1bdf18e6cbc68
2-Iodoxybenzoic acid,2921768,https://en.wikipedia.org/wiki/2-Iodoxybenzoic%20acid,chemistry,organic_chemistry,1,train,dump,2-Iodoxybenzoic acid,4,d706c1666728c6d78453696b16f67a714e5a2866b72b2198d199a3ae47821d9b
2-Methoxypropene,35933915,https://en.wikipedia.org/wiki/2-Methoxypropene,chemistry,organic_chemistry,1,val,dump,2-Methoxypropene,2,161c82f7082b1a3608c5cf5d480cd90a29d8d16c937e07453fe36d68ba5a1c1b
2-in-1 laptop,31848677,https://en.wikipedia.org/wiki/2-in-1%20PC,technology,hardware,1,test,legacy_dump_redirect,2-in-1 PC,4,08932b2e72bef1b1dd6a080bfae8b853028b0bbc855b60ef3efcf19d2a336fd9
2.5D,576646,https://en.wikipedia.org/wiki/2.5D,physics,relativity,1,train,dump,2.5D,4,558cb898eca7a83c143ac7a20575e4edaa283d0ae391badbc97fc49b67bdd02b
20-Hydroxyeicosatetraenoic acid,47836404,https://en.wikipedia.org/wiki/20-Hydroxyeicosatetraenoic%20acid,biology,cell_biology,0,train,dump,20-Hydroxyeicosatetraenoic acid,4,1acfd09a1e8e621534a6b9bedf970cc09f8e0bcc6ee1434aa129b0b97100aeaf
2008 Republican Party presidential primaries,8168445,https://en.wikipedia.org/wiki/2008%20Republican%20Party%20presidential%20primaries,sports,olympics,2,test,dump,2008 Republican Party presidential primaries,4,18f8379eeafb26fd70e02c00c5d9c4b76d48ca1fcf91dcf1bbcb001c025439f5
2009 Latvian meteorite hoax,24842130,https://en.wikipedia.org/wiki/2009%20Latvian%20meteorite%20hoax,science,history_of_science|scientific_research,1,train,dump,2009 Latvian meteorite hoax,4,c79f1a67853b94f9323ab3b554348db07232efd452d0833fd961ecc4a1f6ea9a
2009 Upton Park riot,24120039,https://en.wikipedia.org/wiki/2009%20Upton%20Park%20riot,sports,football,2,val,dump,2009 Upton Park riot,4,99aed310c96ea6108f7c0827db178dcb6a7e37e8ebba29888c87f69e64663066
2016 Summer Olympics,961522,https://en.wikipedia.org/wiki/2016%20Summer%20Olympics,sports,olympics,2,test,dump,2016 Summer Olympics,4,5951797de6d1f6b13118ed7d7420fa480198907e48a21c1d89a9f5dab7bb1e1c
2017 IIHF World U18 Championship Division II,53765978,https://en.wikipedia.org/wiki/2017%20IIHF%20World%20U18%20Championship%20Division%20II,sports,olympics,2,test,dump,2017 IIHF World U18 Championship Division II,4,bebeae1fdc45dd02c9d192fa2b790fa8ab9e7a5859bdf45745d73b0a6a4cfda4
2017–2019 Belgian football fraud scandal,58733902,https://en.wikipedia.org/wiki/2017%E2%80%932019%20Belgian%20football%20fraud%20scandal,sports,football,2,val,dump,2017–2019 Belgian football fraud scandal,4,818c8540036cbd33bcc093db5d0b3683e6dc0939933e130352b225c813a321ff
2021 FIVB Beach Volleyball World Tour,66899313,https://en.wikipedia.org/wiki/2021%20FIVB%20Beach%20Volleyball%20World%20Tour,sports,olympics,2,test,dump,2021 FIVB Beach Volleyball World Tour,2,9b1f0c190a13cace3ced5b25fe7c513bd18a9158cddf5e9ed924585c45bbcb24
2021 Pilipinas VisMin Super Cup game-fixing scandal,67429629,https://en.wikipedia.org/wiki/2021%20Pilipinas%20VisMin%20Super%20Cup%20game-fixing%20scandal,sports,basketball,2,train,dump,2021 Pilipinas VisMin Super Cup game-fixing scandal,4,cbae892a46fc23d50b5d38f28a7540a0df1754209f857a7c45018b3e10d2def1
2021 WNBL–Philippines draft,65397418,https://en.wikipedia.org/wiki/2021%20WNBL%E2%80%93Philippines%20draft,sports,basketball,2,train,dump,2021 WNBL–Philippines draft,4,d714f3d37196864e45bcbc760d4d495347ea9e0242453d0e34744d70604025d7
20th-century lyric poetry,23643349,https://en.wikipedia.org/wiki/20th-century%20lyric%20poetry,books,poetry,0,train,dump,20th-century lyric poetry,4,018dff5679cee7502f99bcc76c87ec16eea0359a820b1ddcbd4c64b090d8da8f
22 for 30,53289091,https://en.wikipedia.org/wiki/22%20for%2030,sports,basketball,2,test,dump,22 for 30,4,8c309fbc303c5e352851f19b3eaa2fa62ca41a048cb7d96e0e66cd6c76f06807
26 Fairmount Avenue,7136123,https://en.wikipedia.org/wiki/26%20Fairmount%20Avenue,books,novels,1,train,dump,26 Fairmount Avenue,4,9bee258de97722f588fb31a456bc4e6f1fe96502924f60e8a2f36ffdd840c734
2N696,58272448,https://en.wikipedia.org/wiki/2N696,technology,hardware,1,train,dump,2N696,4,e83bd7615871f8bbcfe25c8ef16ffb7b3d6cf3a6369edbeb0107f79c85c494d8
2–0 lead is the worst lead,52529690,https://en.wikipedia.org/wiki/2%E2%80%930%20lead%20is%20the%20worst%20lead,sports,football,1,train,dump,2–0 lead is the worst lead,4,139a11cf9605f8ba502c81fdda0ca76283dd896611f47b5fcc3fe7654b0431a2
2–3 zone defense,21994662,https://en.wikipedia.org/wiki/2%E2%80%933%20zone%20defense,sports,basketball,1,train,dump,2–3 zone defense,4,b555cefcc133e6bcfd35c9d1b24c10622ea68d4ba48b1911a92fb2c74c24f037
3 point player,33788256,https://en.wikipedia.org/wiki/3%20point%20player,sports,basketball,2,train,dump,3 point player,4,1e10a96466d2855daa882673743cae72faa05e18524693a76532b9136603ae0b
3-j symbol,8371384,https://en.wikipedia.org/wiki/3-j%20symbol,physics,quantum_mechanics,0,train,dump,3-j symbol,4,ca94d4067da5bab9ef749ccf0caadb22b9042e0c8c527184518408b65c5e8c6d
31 March incident,5061388,https://en.wikipedia.org/wiki/31%20March%20incident,history,ottoman_history,1,train,dump,31 March incident,4,3f8da6a62bed97ef21148e287dea1fb6bc90bab70be5d65fbfbad1c6530a594b
334 (novel),531939,https://en.wikipedia.org/wiki/334%20%28novel%29,books,novels,1,train,dump,334 (novel),4,1da466334335ae81bc9bc0b36343bec5af04c26b0c9d51bb28fba1836915f027
3D cell culturing by magnetic levitation,36845407,https://en.wikipedia.org/wiki/3D%20cell%20culturing%20by%20magnetic%20levitation,biology,cell_biology,0,train,dump,3D cell culturing by magnetic levitation,4,09aa3a5ecd330308ea86851dc9632c32e604d2dde9e56b197668e669d42c87b7
3DMark,236933,https://en.wikipedia.org/wiki/3DMark,technology,hardware|software,1,val,dump,3DMark,4,878f0812a4b54d757ce0e42eadb998d9ffb7b920e8748e14a49b8ce737017cef
3M computer,6119945,https://en.wikipedia.org/wiki/3M%20computer,technology,hardware,1,train,dump,3M computer,4,8ae443bfb58918036bef82a96d22d99ff8da0387b97bc1ad3a0a7344bd244604
3rd Chamber of Deputies of the Ottoman Empire,67962981,https://en.wikipedia.org/wiki/3rd%20Chamber%20of%20Deputies%20of%20the%20Ottoman%20Empire,history,ottoman_history,1,train,dump,3rd Chamber of Deputies of the Ottoman Empire,4,8c3e2529b1fe269ca40052f394103fc82d04ead3c664d012eda4951b817fbced
3v3 Soccer,10025450,https://en.wikipedia.org/wiki/3v3%20Soccer,sports,football,1,train,dump,3v3 Soccer,4,3c7ba0f2bca7771f45b7b64e33d58ef36b3d78b4a5d4593678219f4bb70d5b9b
3x3 basketball,34789037,https://en.wikipedia.org/wiki/3x3%20basketball,sports,basketball,1,train,dump,3x3 basketball,4,a5bc9407da297561fc22cce847159c017f612f04365fd8ef5cb38929ba2e0cb2
4-Dimethylaminopyridine,2183056,https://en.wikipedia.org/wiki/4-Dimethylaminopyridine,chemistry,organic_chemistry,1,val,dump,4-Dimethylaminopyridine,4,6a96f345284630591fd90420bd72d512685cedb440fd73aa8ddc6a5ef267e680
4-Pyrrolidinylpyridine,66926763,https://en.wikipedia.org/wiki/4-Pyrrolidinylpyridine,chemistry,organic_chemistry,1,train,dump,4-Pyrrolidinylpyridine,2,379a5a0399471da866d92d2f618098bf33187020ab8fc8e4e745814383759e47
4.5-point player,33788259,https://en.wikipedia.org/wiki/4.5-point%20player,sports,basketball,2,train,dump,4.5-point player,4,fc157cad2b8065f5d5a59ad88501b282b1e8ec75e7465b17fe9bc5ddc3da0a46
4D vector,50761824,https://en.wikipedia.org/wiki/4D%20vector,technology,hardware,0,train,dump,4D vector,4,a5c41a1d882dba902253f4c5b9717f862d873a899463a2043f13149d8ab5c072
5 man weave,25061080,https://en.wikipedia.org/wiki/5%20man%20weave,sports,basketball,1,train,dump,5 man weave,4,34696ee59f5550dd3b0468ec799b757bc5ba0731520cf9b3ff5a71762daf4d79
5-Hydroxyuracil,47292295,https://en.wikipedia.org/wiki/5-Hydroxyuracil,biology,genetics,1,train,dump,5-Hydroxyuracil,2,87af3cab56e270e66a3bf25182697e54a9442ad5e4ae685f273b0780ecc946b5
50–40–90 club,27410809,https://en.wikipedia.org/wiki/50%E2%80%9340%E2%80%9390%20club,sports,basketball,1,test,dump,50–40–90 club,4,b94df467dc82a7cec609428333d37e3f161961655995fb734475966a2478e600
5GBioShield,67911641,https://en.wikipedia.org/wiki/5GBioShield,physics,quantum_mechanics,1,val,dump,5GBioShield,4,bedd43d87b779c2eefcc7cb0b80c29a034119560dad8fef627514ff5906d3b03
5th Chamber of Deputies of the Ottoman Empire,68041561,https://en.wikipedia.org/wiki/5th%20Chamber%20of%20Deputies%20of%20the%20Ottoman%20Empire,history,ottoman_history,1,train,dump,5th Chamber of Deputies of the Ottoman Empire,1,df0b1fba6dbb1dae37d1a521e7cbc2a58c7323111b0b871814f35dbddb8cab1a
6+5 rule,17706128,https://en.wikipedia.org/wiki/6%2B5%20rule,sports,football,1,train,dump,6+5 rule,4,e23566012195bfd01a30a68d2691a2cf681ce3a00d06a311563f7fc24185b670
6-j symbol,8925452,https://en.wikipedia.org/wiki/6-j%20symbol,physics,quantum_mechanics,0,val,dump,6-j symbol,4,1245ee8fdf5b983fac9322edcaf40b164d2ade179f2740ce466f78cceba0ccf4
7 Wonders (board game),32375158,https://en.wikipedia.org/wiki/7%20Wonders%20%28board%20game%29,history,ancient_history,1,train,dump,7 Wonders (board game),4,96f00f9b511425c90ddcebd69e8149596ff9c9b5de6be6a9f72e7c45c68d8d20
7 Wonders of the Ancient World (video game),19834313,https://en.wikipedia.org/wiki/7%20Wonders%20of%20the%20Ancient%20World%20%28video%20game%29,history,ancient_history,1,val,dump,7 Wonders of the Ancient World (video game),4,f8bd3b628785434411ab25167e4cecaa173ea5118ab3de52c1e19f0026db203b
7-Aminoactinomycin D,11225114,https://en.wikipedia.org/wiki/7-Aminoactinomycin%20D,biology,cell_biology,0,train,dump,7-Aminoactinomycin D,4,6e76cac40e87c156dfd143a46dc8f3d4317812670d1ef81e8fbb3f2c4d3e9a9e
80 Million Tiny Images,64439717,https://en.wikipedia.org/wiki/80%20Million%20Tiny%20Images,technology,artificial_intelligence,0,train,dump,80 Million Tiny Images,4,d41bef21a28457a04cfac88ecd7c297e592002b8454510cc612f52edc03ed1d6
80 Plus,13038870,https://en.wikipedia.org/wiki/80%20Plus,technology,hardware,1,train,dump,80 Plus,4,3b7197aefd0aef70b43bb8525797a66c5a5db8ed5dc2ae9e1c30ab465e70fb50
9-j symbol,8927344,https://en.wikipedia.org/wiki/9-j%20symbol,physics,quantum_mechanics,0,train,dump,9-j symbol,4,7cfd90612f22ffc867382eea287958a1287a6935bb30889dfb8125c9d617f266
9th Canadian Ministry,8405372,https://en.wikipedia.org/wiki/9th%20Canadian%20Ministry,history,world_wars,1,train,dump,9th Canadian Ministry,4,79a50836897ad7d4509cf615905091a3a573c69e8679cf2af3908c9d7a788b01
A Barnstormer in Oz,8312349,https://en.wikipedia.org/wiki/A%20Barnstormer%20in%20Oz,books,novels,1,train,dump,A Barnstormer in Oz,4,f9f89e45c994853d0dde83d17882c3dda666daed28f1c3fc68889c6e107c767a
A Brief History of Everyone Who Ever Lived,60121915,https://en.wikipedia.org/wiki/A%20Brief%20History%20of%20Everyone%20Who%20Ever%20Lived,books,science_books,0,val,dump,A Brief History of Everyone Who Ever Lived,4,19dcc17f85d9c88dbd2bba84b54c9399e47739fabb6a59bf3535441ed4085a68
A Brief History of Time,67227,https://en.wikipedia.org/wiki/A%20Brief%20History%20of%20Time,books,science_books,1,test,dump,A Brief History of Time,4,6c8f53435caf64debff2079837b9969d0fbcc046a94cbea13c06c422cce83cfe
A Briefer History of Time (Schulman book),5259052,https://en.wikipedia.org/wiki/A%20Briefer%20History%20of%20Time%20%28Schulman%20book%29,books,science_books,0,train,dump,A Briefer History of Time (Schulman book),4,067ea3c76e82545eac1d813fd17ff10ceca0c345627a4823049d9d4d06cae773
A Capitol Death,56905939,https://en.wikipedia.org/wiki/A%20Capitol%20Death,books,novels,1,train,dump,A Capitol Death,4,f1619c2724b3b014ed950f95379b7eb2d0de353e6bade398e388b67d6782285b
A Child Is Born (book),24553380,https://en.wikipedia.org/wiki/A%20Child%20Is%20Born%20%28book%29,books,science_books,0,train,dump,A Child Is Born (book),4,76fb3527e26d6e8107417c5bbcdc73edc8fefdf3575545880c4d537520c5e1d1
"A Dangerous Idea: Eugenics, Genetics and the American Dream",60758058,https://en.wikipedia.org/wiki/A%20Dangerous%20Idea%3A%20Eugenics%2C%20Genetics%20and%20the%20American%20Dream,biology,genetics,1,val,dump,"A Dangerous Idea: Eugenics, Genetics and the American Dream",4,d14db7f49e386ff371f0b88e68d2b92182a1e0765181e858bb114e6233979ef5
A Fortune for Kregen,69751062,https://en.wikipedia.org/wiki/A%20Fortune%20for%20Kregen,books,novels,1,train,dump,A Fortune for Kregen,4,f952a9bce05370e19aaf2c0ca7ede83b00010344aa8c32b7fac32149c23a2a17
A Good and Happy Child,15756680,https://en.wikipedia.org/wiki/A%20Good%20and%20Happy%20Child,books,novels,1,train,dump,A Good and Happy Child,4,3b584dd428d3f5aaef8fbf9bcfec98c8b0a96c125a668b152dc7cfc6db3af694
A Graveyard to Let,13330555,https://en.wikipedia.org/wiki/A%20Graveyard%20to%20Let,books,novels,1,val,dump,A Graveyard to Let,4,a00863b4367e313e511feb53c436988ffb654fdf9febefd9ee6085ff354bca6f
A Guide to the Scientific Knowledge of Things Familiar,10411987,https://en.wikipedia.org/wiki/A%20Guide%20to%20the%20Scientific%20Knowledge%20of%20Things%20Familiar,books,science_books,0,train,dump,A Guide to the Scientific Knowledge of Things Familiar,4,2a86e97502ee829c67132386554c0bd40f8ffa62633ee6762b83cbbb11d91491
A History of Babylonia and Assyria,68629639,https://en.wikipedia.org/wiki/A%20History%20of%20Babylonia%20and%20Assyria,history,ancient_history,0,train,dump,A History of Babylonia and Assyria,4,6937e49cfccee9158e8b6dcd585e463a2d1b934aced1a2e1abf606f1bfde00db
A History of Medicine,60550814,https://en.wikipedia.org/wiki/A%20History%20of%20Medicine,books,science_books,1,val,dump,A History of Medicine,4,f0387edf6df2db557e69b7360ac0d58e27be9f6d87f8ebb634cfed241d6b5adf
A History of Pi,7472581,https://en.wikipedia.org/wiki/A%20History%20of%20Pi,books,science_books,1,test,dump,A History of Pi,4,fd961674ec2c7b8bfb6e8aabd588c0f06f13c1ac04a71a499b2323c56d4e246a
